IDimpacto_material;Houses Destroyed;Houses Damaged;Losses $Local
102;0;400;0
202;0;0;0
302;0;0;0
402;0;600;0
502;10;20;0
602;0;0;0
702;10;0;0
802;40;0;0
902;0;10;0
1002;0;400;0
1102;0;0;0
1202;0;10;0
1302;0;0;0
1402;0;0;0
1502;0;0;0
1602;0;20;0
1702;0;20;0
1802;0;1250;0
1902;120;190;0
2002;0;0;0
2102;0;3000;0
2202;0;0;0
2302;0;0;0
2402;0;0;0
2502;0;0;0
2602;0;0;0
2702;10;0;0
2802;0;0;0
2902;0;0;0
3002;30;0;0
3102;0;400;0
3202;0;0;0
3302;0;3390;0
3402;0;50;0
3502;20;0;0
3602;0;30;0
3702;0;160;0
3802;0;0;0
3902;10;360;0
4002;0;0;0
4102;0;0;0
4202;0;100;0
4302;30;70;0
4402;0;350;0
4502;0;0;0
4602;0;30;0
4702;30;1750;0
4802;120;80;0
4902;0;0;0
5002;0;0;0
5102;0;0;0
5202;0;0;0
5302;0;1500;0
5402;0;370;0
5502;10;0;0
5602;0;0;0
5702;0;970;0
5802;0;200;0
5902;0;150;0
6002;0;20;0
6102;0;0;0
6202;0;0;0
6302;0;0;0
6402;0;70;0
6502;0;700;0
6602;0;600;0
6702;0;280;0
6802;0;310;0
6902;0;120;0
7002;0;10;0
7102;0;10;0
7202;0;250;0
7302;0;0;0
7402;0;0;0
7502;0;250;0
7602;0;30;0
7702;0;0;0
7802;0;0;0
7902;70;310;0
8002;0;0;0
8102;0;440;0
8202;0;410;0
8302;0;0;0
8402;0;0;0
8502;0;1040;0
8602;10;0;0
8702;0;0;0
8802;0;20;0
8902;150;0;0
9002;10;0;0
9102;0;0;0
9202;0;3520;0
9302;70;1270;0
9402;0;0;0
9502;0;0;0
9602;0;0;0
9702;0;50;0
9802;0;0;0
9902;0;20;0
10002;0;0;0
10102;0;0;0
10202;0;130;0
10302;0;0;0
10402;0;500;0
10502;0;0;0
10602;0;320;0
10702;0;60;0
10802;10;70;0
10902;0;0;0
11002;0;0;0
11102;0;0;0
11202;0;0;0
11302;0;0;0
11402;0;0;0
11502;0;0;0
11602;0;0;0
11702;0;0;0
11802;0;0;0
11902;0;150;0
12002;0;0;0
12102;0;720;0
12202;10;0;0
12302;0;0;0
12402;0;0;0
12502;0;300;0
12602;0;0;0
12702;0;0;0
12802;0;0;0
12902;0;0;0
13002;0;0;0
13102;0;0;0
13202;0;0;0
13302;0;0;0
13402;0;0;0
13502;0;0;0
13602;0;0;0
13702;0;0;0
13802;0;0;0
13902;0;0;0
14002;0;0;0
14102;0;0;0
14202;0;0;0
14302;0;0;0
14402;0;0;0
14502;0;0;0
14602;0;0;0
14702;0;0;0
14802;0;0;0
14902;0;0;0
15002;0;0;0
15102;0;0;0
15202;0;0;0
15302;0;0;0
15402;330;80;0
15502;20;0;0
15602;0;0;0
15702;0;0;0
15802;0;0;0
15902;0;0;0
16002;0;0;0
16102;0;0;0
16202;0;0;0
16302;0;0;0
16402;0;0;0
16502;0;0;0
16602;0;0;0
16702;10;0;0
16802;0;0;0
16902;0;0;0
17002;0;0;0
17102;0;0;0
17202;0;0;0
17302;0;0;0
17402;0;0;0
17502;0;0;0
17602;0;0;0
17702;0;0;0
17802;0;0;0
17902;0;0;0
18002;0;0;0
18102;0;0;0
18202;0;0;0
18302;0;0;0
18402;0;0;0
18502;0;0;0
18602;0;0;0
18702;0;0;0
18802;0;0;0
18902;0;0;0
19002;0;0;0
19102;0;0;0
19202;0;0;0
19302;0;0;0
19402;0;0;0
19502;0;0;0
19602;0;0;0
19702;0;0;0
19802;0;0;0
19902;0;0;0
20002;0;0;0
20102;0;0;0
20202;0;0;0
20302;0;0;0
20402;0;0;0
20502;0;0;0
20602;0;0;0
20702;0;0;0
20802;0;0;0
20902;0;0;0
21002;0;0;0
21102;0;0;0
21202;0;0;0
21302;40;90;0
21402;0;0;0
21502;0;0;0
21602;0;0;0
21702;0;0;0
21802;0;20;0
21902;0;10;0
22002;0;0;0
22102;0;0;0
22202;0;0;0
22302;10;0;0
22402;20;0;0
22502;0;0;0
22602;0;0;0
22702;0;10;0
22802;0;0;0
22902;0;0;0
23002;0;0;0
23102;0;0;0
23202;0;0;0
23302;0;100;0
23402;0;0;0
23502;0;110;0
23602;0;150;0
23702;0;0;0
23802;0;0;0
23902;0;50;0
24002;0;0;0
24102;10;0;0
24202;0;0;0
24302;0;0;0
24402;0;0;0
24502;0;0;0
24602;0;0;0
24702;0;10;0
24802;0;0;0
24902;0;10;0
25002;0;0;0
25102;0;10;0
25202;0;10;0
25302;0;0;0
25402;0;0;0
25502;0;10;0
25602;10;0;0
25702;0;0;0
25802;0;0;0
25902;0;0;0
26002;0;10;0
26102;0;10;0
26202;0;610;0
26302;0;0;0
26402;0;0;0
26502;0;0;0
26602;0;0;0
26702;0;0;0
26802;0;350;0
26902;0;200;0
27002;0;0;0
27102;70;0;0
27202;0;0;0
27302;0;20;0
27402;0;100;0
27502;0;10;0
27602;0;0;0
27702;0;0;0
27802;0;1100;0
27902;0;370;0
28002;0;0;0
28102;0;0;0
28202;0;40;0
28302;0;70;0
28402;0;10;0
28502;0;0;0
28602;0;0;0
28702;0;130;0
28802;0;0;0
28902;0;0;0
29002;10;0;0
29102;0;0;0
29202;0;70;0
29302;0;0;0
29402;0;0;0
29502;0;110;0
29602;0;300;0
29702;0;400;0
29802;0;600;0
29902;0;80;0
30002;0;0;0
30102;0;0;0
30202;0;0;0
30302;0;0;0
30402;0;630;0
30502;10;0;0
30602;0;0;0
30702;0;0;0
30802;0;0;0
30902;10;0;0
31002;10;20;0
31102;0;0;0
31202;0;0;0
31302;0;10;0
31402;0;10;0
31502;0;0;0
31602;0;0;0
31702;0;10;0
31802;0;10;0
31902;0;50;0
32002;0;10;0
32102;10;0;0
32202;10;10;0
32302;0;10;0
32402;0;160;0
32502;0;130;0
32602;0;0;0
32702;0;1420;0
32802;10;10;0
32902;0;1500;0
33002;0;0;0
33102;0;0;0
33202;0;0;0
33302;0;0;0
33402;0;0;0
33502;0;0;0
33602;0;0;0
33702;0;0;0
33802;10;0;0
33902;0;10;0
34002;0;0;0
34102;30;0;0
34202;0;0;0
34302;0;10;0
34402;0;0;0
34502;0;0;0
34602;0;20;0
34702;0;0;0
34802;0;0;0
34902;0;0;0
35002;0;0;0
35102;0;0;0
35202;70;0;0
35302;0;0;0
35402;0;0;0
35502;0;0;0
35602;0;0;0
35702;0;0;0
35802;0;0;0
35902;0;0;0
36002;0;0;0
36102;0;0;0
36202;0;0;0
36302;0;0;0
36402;0;0;0
36502;0;0;0
36602;0;0;0
36702;0;0;0
36802;0;0;0
36902;0;0;0
37002;0;0;0
37102;0;90;0
37202;0;0;0
37302;0;0;0
37402;0;0;0
37502;160;250;0
37602;20;80;0
37702;0;1340;0
37802;0;0;0
37902;0;400;0
38002;0;0;0
38102;0;340;0
38202;0;0;0
38302;0;0;0
38402;0;0;0
38502;0;0;0
38602;10;250;0
38702;0;0;0
38802;0;0;0
38902;0;0;0
39002;0;40;0
39102;20;110;0
39202;0;0;0
39302;0;0;0
39402;0;0;0
39502;0;10;0
39602;0;0;0
39702;0;0;0
39802;0;0;0
39902;0;0;0
40002;0;0;0
40102;0;0;0
40202;0;0;0
40302;0;0;0
40402;0;0;0
40502;0;0;0
40602;0;0;0
40702;0;0;0
40802;0;0;0
40902;0;0;0
41002;0;1040;0
41102;0;0;0
41202;0;200;0
41302;30;10;0
41402;0;350;0
41502;0;0;0
41602;0;0;0
41702;0;20;0
41802;0;70;0
41902;0;0;0
42002;0;660;0
42102;0;80;0
42202;10;0;0
42302;0;0;0
42402;0;10;0
42502;0;20;0
42602;0;0;0
42702;0;980;0
42802;0;0;0
42902;50;580;0
43002;0;0;0
43102;0;0;0
43202;0;0;0
43302;0;0;0
43402;0;0;0
43502;0;300;0
43602;0;0;0
43702;0;30;0
43802;0;250;0
43902;0;160;0
44002;0;550;0
44102;0;0;0
44202;0;0;0
44302;0;0;0
44402;0;0;0
44502;0;0;0
44602;0;0;0
44702;0;0;0
44802;0;0;0
44902;0;0;0
45002;0;0;0
45102;0;0;0
45202;0;10;0
45302;0;0;0
45402;0;0;0
45502;0;140;0
45602;0;540;0
45702;0;270;0
45802;0;120;0
45902;0;0;0
46002;0;60;0
46102;0;0;0
46202;0;10;0
46302;0;160;0
46402;0;1100;0
46502;0;50;0
46602;10;250;0
46702;0;150;0
46802;40;910;0
46902;0;300;0
47002;30;530;0
47102;0;0;0
47202;10;0;0
47302;0;180;0
47402;10;0;0
47502;0;0;0
47602;0;0;0
47702;0;0;0
47802;0;0;0
47902;0;0;0
48002;0;0;0
48102;0;3000;0
48202;0;0;0
48302;60;590;0
48402;60;20;0
48502;10;20;0
48602;30;10;0
48702;0;1600;0
48802;0;4000;0
48902;0;0;0
49002;10;40;0
49102;660;2430;0
49202;0;3900;0
49302;0;0;0
49402;0;0;0
49502;0;0;0
49602;0;0;0
49702;0;0;0
49802;0;0;0
49902;0;0;0
50002;0;0;0
50102;0;0;0
50202;0;0;0
50302;0;0;0
50402;0;0;0
50502;0;250;0
50602;0;0;0
50702;0;800;0
50802;0;0;0
50902;0;0;0
51002;50;0;100000000
51102;10;30;0
51202;0;0;0
51302;10;0;0
51402;10;0;0
51502;0;250;0
51602;150;220;0
51702;10;50;0
51802;0;0;0
51902;40;70;0
52002;0;380;0
52102;0;10;0
52202;0;790;0
52302;0;0;0
52402;0;250;0
52502;0;190;0
52602;0;0;0
52702;0;0;0
52802;0;0;0
52902;0;10;0
53002;0;0;0
53102;0;0;0
53202;0;0;0
53302;0;0;0
53402;0;0;0
53502;0;0;0
53602;0;0;0
53702;0;0;0
53802;0;0;0
53902;0;0;0
54002;0;0;0
54102;0;0;0
54202;0;0;0
54302;0;0;0
54402;0;0;0
54502;0;0;0
54602;0;0;0
54702;0;220;0
54802;0;0;0
54902;0;0;0
55002;0;0;0
55102;0;20;0
55202;0;120;0
55302;0;0;0
55402;0;0;0
55502;0;0;0
55602;0;120;0
55702;0;20;0
55802;0;0;0
55902;0;0;0
56002;0;0;0
56102;0;0;0
56202;0;0;0
56302;10;0;0
56402;0;0;0
56502;0;0;0
56602;0;200;0
56702;0;0;0
56802;0;10;0
56902;0;0;0
57002;170;0;0
57102;0;0;0
57202;0;0;0
57302;0;0;0
57402;0;0;0
57502;0;0;0
57602;0;0;0
57702;0;0;0
57802;0;0;0
57902;0;0;0
58002;0;0;0
58102;0;0;0
58202;0;0;0
58302;0;0;0
58402;0;20;0
58502;0;0;0
58602;0;0;0
58702;0;0;0
58802;0;0;0
58902;0;0;0
59002;0;0;0
59102;0;0;0
59202;0;0;0
59302;0;0;0
59402;0;0;0
59502;0;0;0
59602;0;0;0
59702;0;0;0
59802;0;0;0
59902;0;0;0
60002;0;0;0
60102;0;0;0
60202;0;0;0
60302;0;0;0
60402;0;0;0
60502;10;0;0
60602;0;0;0
60702;0;0;0
60802;0;0;0
60902;0;0;0
61002;0;0;0
61102;0;0;0
61202;0;0;0
61302;0;0;0
61402;0;0;0
61502;0;0;0
61602;0;0;0
61702;0;0;0
61802;0;0;0
61902;0;0;0
62002;0;0;0
62102;0;10;0
62202;0;0;0
62302;0;0;0
62402;0;0;0
62502;0;0;0
62602;0;0;0
62702;0;0;0
62802;0;0;0
62902;0;0;0
63002;0;0;0
63102;0;0;0
63202;0;0;0
63302;0;0;0
63402;0;0;0
63502;0;0;0
63602;0;0;0
63702;0;0;0
63802;0;0;0
63902;0;0;0
64002;0;0;0
64102;0;0;0
64202;0;0;0
64302;0;0;0
64402;0;0;0
64502;0;0;0
64602;0;0;0
64702;0;0;0
64802;40;0;0
64902;0;0;0
65002;0;0;0
65102;40;0;0
65202;10;0;0
65302;0;0;0
65402;0;0;0
65502;0;0;0
65602;0;0;0
65702;0;40;0
65802;0;0;0
65902;0;0;0
66002;10;0;0
66102;0;0;0
66202;0;10;0
66302;10;0;0
66402;0;0;0
66502;0;0;0
66602;0;0;0
66702;0;1640;0
66802;0;0;0
66902;0;0;0
67002;0;50;0
67102;0;0;0
67202;20;40;0
67302;0;20;0
67402;0;0;0
67502;0;0;0
67602;0;0;0
67702;0;0;0
67802;140;0;0
67902;0;250;0
68002;0;100;0
68102;0;70;0
68202;0;0;0
68302;0;0;0
68402;0;20;0
68502;0;0;0
68602;0;0;0
68702;0;0;0
68802;0;100;0
68902;0;500;0
69002;0;50;0
69102;0;0;0
69202;0;220;0
69302;0;5000;0
69402;0;30;0
69502;10;0;0
69602;10;100;0
69702;0;0;0
69802;0;940;0
69902;0;0;0
70002;0;70;0
70102;0;0;0
70202;0;20;0
70302;0;420;0
70402;0;0;0
70502;0;0;0
70602;10;770;0
70702;0;0;0
70802;0;0;0
70902;0;1130;0
71002;0;150;0
71102;0;0;0
71202;0;0;0
71302;0;0;0
71402;0;0;0
71502;0;0;0
71602;0;0;0
71702;0;0;0
71802;40;150;0
71902;0;0;0
72002;0;600;0
72102;0;0;0
72202;0;0;0
72302;0;15590;0
72402;0;0;0
72502;0;0;0
72602;20;0;0
72702;0;1000;0
72802;0;0;0
72902;0;0;0
73002;0;1390;0
73102;0;250;0
73202;0;0;0
73302;0;150;0
73402;0;530;0
73502;10;0;0
73602;0;0;0
73702;0;0;0
73802;200;100;0
73902;0;0;0
74002;30;170;0
74102;0;0;0
74202;0;150;0
74302;60;1190;0
74402;0;0;0
74502;0;0;0
74602;0;30;0
74702;0;30;0
74802;0;0;0
74902;0;100;0
75002;0;0;0
75102;0;40;0
75202;0;30;0
75302;10;50;0
75402;10;0;0
75502;0;1260;0
75602;0;20;0
75702;0;10;0
75802;0;0;0
75902;0;140;0
76002;30;0;0
76102;130;110;0
76202;0;0;0
76302;0;0;0
76402;0;0;0
76502;0;0;0
76602;0;0;0
76702;0;300;0
76802;0;0;0
76902;0;250;0
77002;0;0;0
77102;0;0;0
77202;0;0;0
77302;0;0;0
77402;0;0;0
77502;0;0;0
77602;0;0;0
77702;0;250;0
77802;0;1000;0
77902;0;0;0
78002;0;0;0
78102;0;220;0
78202;0;0;0
78302;0;0;0
78402;0;0;0
78502;0;0;0
78602;0;0;0
78702;0;0;0
78802;20;0;0
78902;0;0;0
79002;0;50;0
79102;0;0;0
79202;0;0;0
79302;0;0;0
79402;0;0;0
79502;0;0;0
79602;0;0;0
79702;0;10;0
79802;0;10;0
79902;0;0;0
80002;0;300;0
80102;0;0;0
80202;0;0;0
80302;0;0;0
80402;0;0;0
80502;0;0;0
80602;0;0;0
80702;0;0;0
80802;0;0;0
80902;0;0;0
81002;0;0;0
81102;0;0;0
81202;0;0;0
81302;0;0;0
81402;0;0;0
81502;0;0;0
81602;0;0;0
81702;0;400;0
81802;0;6700;0
81902;0;0;0
82002;0;0;0
82102;0;0;0
82202;0;0;0
82302;0;0;0
82402;0;40;0
82502;0;0;0
82602;0;0;0
82702;0;0;0
82802;0;130;0
82902;0;0;0
83002;0;0;0
83102;0;3000;0
83202;0;0;0
83302;0;0;0
83402;0;30;0
83502;0;20;0
83602;10;520;0
83702;0;1450;0
83802;10;0;0
83902;10;0;0
84002;0;0;0
84102;0;10;0
84202;0;60;0
84302;0;0;0
84402;0;0;0
84502;10;0;0
84602;30;0;0
84702;0;0;0
84802;10;0;0
84902;0;120;0
85002;0;800;0
85102;0;90;0
85202;0;50;0
85302;10;290;0
85402;0;4200;0
85502;10;0;0
85602;0;50;0
85702;0;0;0
85802;0;0;0
85902;0;0;0
86002;0;0;0
86102;0;0;0
86202;0;0;0
86302;0;0;0
86402;0;140;0
86502;0;360;0
86602;0;200;0
86702;0;40;0
86802;0;500;0
86902;0;40;0
87002;0;550;0
87102;10;20;0
87202;0;0;0
87302;0;0;0
87402;0;1500;0
87502;0;0;0
87602;0;0;0
87702;0;160;0
87802;0;0;0
87902;80;400;0
88002;0;600;0
88102;0;0;0
88202;0;60;0
88302;0;10;0
88402;10;50;0
88502;0;30;0
88602;0;100;0
88702;0;1500;0
88802;0;0;0
88902;0;0;0
89002;0;90;0
89102;0;0;0
89202;0;20;0
89302;0;490;0
89402;0;0;0
89502;0;0;0
89602;0;0;0
89702;0;0;0
89802;0;880;0
89902;0;0;0
90002;0;0;0
90102;20;40;0
90202;0;0;0
90302;0;2320;0
90402;0;20;0
90502;0;0;0
90602;10;120;0
90702;0;140;0
90802;0;210;0
90902;0;0;0
91002;0;100;0
91102;0;500;0
91202;0;0;0
91302;0;10;0
91402;0;0;0
91502;0;260;0
91602;10;0;0
91702;0;0;0
91802;0;200;0
91902;0;0;0
92002;0;0;0
92102;0;0;0
92202;10;0;0
92302;0;0;0
92402;0;5100;0
92502;10;10;0
92602;0;0;0
92702;0;400;0
92802;0;460;0
92902;0;0;0
93002;10;0;0
93102;10;30;0
93202;0;10;0
93302;0;770;0
93402;0;0;0
93502;0;10;0
93602;0;0;0
93702;20;0;0
93802;0;60;0
93902;0;30;0
94002;30;70;0
94102;0;0;0
94202;30;0;0
94302;0;1120;0
94402;0;50;0
94502;0;100;0
94602;0;390;0
94702;0;70;0
94802;0;0;0
94902;50;0;0
95002;0;2500;0
95102;10;70;0
95202;130;0;0
95302;0;610;0
95402;0;0;0
95502;0;30;0
95602;0;730;0
95702;0;0;0
95802;20;790;0
95902;0;0;0
96002;0;1250;0
96102;0;510;0
96202;0;20;0
96302;0;0;0
96402;0;0;0
96502;0;0;0
96602;0;0;0
96702;0;0;0
96802;0;0;0
96902;0;20;0
97002;10;0;0
97102;30;0;0
97202;0;0;0
97302;0;350;0
97402;0;250;0
97502;0;0;0
97602;0;0;0
97702;0;0;0
97802;0;0;0
97902;0;0;0
98002;0;0;0
98102;0;0;0
98202;0;0;0
98302;0;0;0
98402;0;0;0
98502;0;0;0
98602;0;0;0
98702;0;0;0
98802;0;0;0
98902;0;0;0
99002;0;0;0
99102;10;0;0
99202;0;0;0
99302;0;0;0
99402;0;0;0
99502;0;0;0
99602;0;0;0
99702;10;0;0
99802;0;0;0
99902;0;0;0
100002;0;0;0
100102;0;0;0
100202;0;0;0
100302;0;0;0
100402;0;0;0
100502;0;0;0
100602;10;0;0
100702;0;20;0
100802;0;0;0
100902;0;0;0
101002;0;310;0
101102;0;0;0
101202;0;20;0
101302;0;10;0
101402;0;0;0
101502;0;0;0
101602;0;0;0
101702;0;0;0
101802;0;0;0
101902;0;120;0
102002;0;600;0
102102;10;0;0
102202;0;0;0
102302;0;2000;0
102402;0;0;0
102502;0;0;0
102602;0;130;0
102702;0;500;0
102802;0;0;0
102902;0;500;0
103002;0;200;0
103102;0;2000;0
103202;0;6200;0
103302;0;250;0
103402;0;0;0
103502;0;3000;0
103602;0;0;0
103702;0;0;0
103802;0;7550;0
103902;0;10000;0
104002;0;300;0
104102;0;1600;0
104202;0;500;0
104302;0;10;0
104402;0;500;0
104502;0;150;0
104602;0;500;0
104702;0;0;0
104802;0;300;0
104902;0;0;0
105002;0;0;0
105102;0;0;0
105202;0;3200;0
105302;60;280;0
105402;0;0;0
105502;50;1500;0
105602;0;0;0
105702;0;0;500000000
105802;0;0;0
105902;0;0;0
106002;0;0;0
106102;0;0;0
106202;0;900;0
106302;70;600;0
106402;0;400;0
106502;0;3000;0
106602;0;0;0
106702;0;150;0
106802;0;300;0
106902;0;140;0
107002;20;0;0
107102;0;7000;0
107202;0;0;0
107302;0;1200;0
107402;0;1410;0
107502;0;0;0
107602;0;0;0
107702;0;80;0
107802;0;170;0
107902;0;1560;0
108002;0;0;0
108102;0;200;0
108202;0;100;0
108302;10;50;0
108402;0;0;0
108502;30;0;0
108602;0;0;0
108702;0;70;0
108802;0;0;0
108902;0;100;0
109002;10;10;0
109102;0;0;0
109202;0;0;0
109302;0;250;0
109402;0;10;0
109502;10;0;0
109602;0;2870;0
109702;0;0;0
109802;0;0;0
109902;0;0;0
110002;10;30;0
110102;0;0;0
110202;0;10;0
110302;0;430;0
110402;0;0;0
110502;0;0;0
110602;0;0;0
110702;0;5000;0
110802;0;0;0
110902;0;0;0
111002;0;0;0
111102;0;0;0
111202;0;0;0
111302;0;0;0
111402;0;0;0
111502;0;10;0
111602;0;150;0
111702;0;2310;0
111802;0;10;0
111902;0;0;0
112002;0;0;0
112102;0;0;0
112202;0;0;0
112302;0;0;0
112402;0;0;0
112502;0;0;0
112602;0;0;0
112702;0;0;0
112802;0;0;0
112902;0;0;0
113002;0;0;0
113102;0;0;0
113202;0;0;0
113302;0;0;0
113402;150;150;0
113502;0;100;0
113602;0;0;0
113702;0;10;0
113802;0;0;0
113902;0;0;0
114002;0;10;0
114102;0;0;0
114202;0;0;0
114302;0;0;0
114402;0;0;0
114502;0;0;0
114602;0;0;0
114702;0;0;0
114802;0;0;0
114902;0;10;0
115002;0;0;0
115102;0;10;0
115202;0;0;0
115302;0;450;0
115402;0;3000;0
115502;30;200;0
115602;10;50;0
115702;30;40;0
115802;0;0;0
115902;0;0;0
116002;0;150;0
116102;180;0;0
116202;10;3490;0
116302;0;2000;0
116402;60;500;0
116502;40;0;0
116602;0;800;0
116702;0;200;0
116802;0;0;0
116902;0;10;0
117002;0;10000;0
117102;0;20000;0
117202;0;700;0
117302;0;500;0
